audit_id,layer,control,observed,expected,status,severity,blocks_full_sync,evidence,boundary
K11RUN-QO-001,BASE,CREATE2 address replay,"0x3de98ce63339443e209e948915b3a1782bcc64fc","0x3de98ce63339443e209e948915b3a1782bcc64fc",PASS,INFO,FALSE,"parent_tx=0x2ba040593875b8a35cb0ba7501a769df943b179856a49ac59324e41160999552; factory=0x777777751622c0d3258f214f9df38e35bf45baf3; salt=0xfc704cd7bb250ad01c8e0afb7e20d7bde41cdb5cffbe38f3651c2c8f433e3ff6","Deployment provenance only"
K11RUN-QO-002,BASE,Clone initcode hash,"0x5df51327b62e54b0bb0368c65bc460102008271132d93eed3630809c633949a1","0x5df51327b62e54b0bb0368c65bc460102008271132d93eed3630809c633949a1",PASS,INFO,FALSE,"EIP-1167 initcode length=55 bytes","Implementation runtime equality not established"
K11RUN-QO-003,ZORA,Profile placement,"K11RUN returned at position 1 of 20 for identifier jaywisdom","K11RUN returned by getProfileCoins(jaywisdom)",PASS,INFO,FALSE,"createdCoins.count=1087; creatorProfile.handle=jaywisdom; chainId=8453","Indexer placement is not ENS-control proof"
K11RUN-QO-004,ZORA,Coin object address,"0x3de98ce63339443e209e948915b3a1782bcc64fc","0x3de98ce63339443e209e948915b3a1782bcc64fc",PASS,INFO,FALSE,"name=ALICIA LEWIS — KAREN11 ANCHOR #8; symbol=K11RUN; coinType=CONTENT","Coin object match does not prove signer identity"
K11RUN-QO-005,ZORA,Profile total,1087,1087,PASS,INFO,FALSE,"getProfileCoins identifier=jaywisdom","Count is live-indexer observation"
K11RUN-QO-006,GITHUB,Canonical inventory row count,325,1087,FAIL,CRITICAL,TRUE,"data/live_zora_items.json blob=33693df8dee030ecc5bde6100459e9177e80a0a3","GitHub mirror is incomplete"
K11RUN-QO-007,GITHUB,Coverage gap,762,0,FAIL,CRITICAL,TRUE,"1087 Zora rows minus 325 GitHub rows","Gap is arithmetic; missing-row identities require normalized export"
K11RUN-QO-008,GITHUB,K11RUN normalized row,"absent","present after normalizer",FAIL,HIGH,TRUE,"K11RUN and contract address both absent from data/live_zora_items.json","No manual row insertion"
K11RUN-QO-009,GITHUB,Workflow identifier,"jaywisdom.base.eth","jaywisdom",FAIL,HIGH,TRUE,".github/workflows/export-zora-inventory.yml ZORA_IDENTIFIER","Identifiers must not be silently treated as equivalent"
K11RUN-QO-010,GITHUB,Workflow completeness threshold,"row_count >= 300","row_count reconciles to live createdCoins.count or explicit pagination exhaustion",FAIL,CRITICAL,TRUE,"Existing assertion accepts 325 while live count is 1087","A minimum threshold is not a completeness proof"
K11RUN-QO-011,GITHUB,Manifest coverage claim,"coverage=LIVE_SDK_PULL; row_count=325; identifier=jaywisdom.base.eth","coverage claim qualified as partial or reconciled to 1087",FAIL,HIGH,TRUE,"exports/jay_zora_inventory.manifest.json blob=e4a770289f63a14f4fd33edb15b9a41aa802595b","Freshness does not establish completeness"
K11RUN-QO-012,GITHUB,Latest mirrored creation,"2026-08-12T07:43:29+00:00","at least 2026-09-01T17:02:23+00:00",FAIL,HIGH,TRUE,"manifest latest_created_at predates K11RUN","Timestamp comparison only"
K11RUN-QO-013,GITHUB,Last inventory refresh commit,"e3974e8511c36694e9b521352354ad874291c693 at 2026-09-01T19:15:03Z","refresh includes K11RUN deployed at 2026-09-01T17:02:23Z",FAIL,HIGH,TRUE,"commit message=Refresh live Zora inventory; K11RUN absent","A successful workflow commit is not proof of complete inventory"
K11RUN-QO-014,DRIVE,Independent audit copy,"K11RUN_QUAD_ONION_INVENTORY_SYNC_2026-09-02.csv","same bytes as GitHub audit CSV",PASS,INFO,FALSE,"target folder=Jason's Daily — JSONWisdom Replay; byte equality guarded by SHA-256","Drive copy witnesses audit bytes; it does not repair GitHub inventory"
K11RUN-QO-015,CROSS_LAYER,Address agreement,"Base and Zora both report 0x3de98ce63339443e209e948915b3a1782bcc64fc","exact lowercase address equality",PASS,INFO,FALSE,"Base CREATE2 replay plus Zora getCoin/getProfileCoins","Cross-surface address agreement is not common-owner proof"
K11RUN-QO-016,CROSS_LAYER,Four-layer synchronization,"Base=PASS; Zora=PASS; GitHub inventory=FAIL; Drive audit=PASS","Base=PASS; Zora=PASS; GitHub inventory=PASS; Drive audit=PASS",HOLD,CRITICAL,TRUE,"Quad Onion rule requires all four independent layers","No layer may self-certify another"
K11RUN-QO-017,BOUNDARY,Identity and authority,"identity=false; owner_control=false; basename_control=false; authority=false","remain false absent separate proof",PASS,INFO,FALSE,"0x829adfedbe565f9885a7ea6bc78912acaef055e2 is an observed deployment-role surface","Shared CCIP target does not establish common owner"
K11RUN-QO-018,BOUNDARY,Implementation byte equality,"not run; compiler Cancun versus Prague unresolved","frozen compiler config plus runtime byte equality",OPEN,HIGH,FALSE,"compiler configuration mismatch is byte-affecting","Separate gate from inventory synchronization"
